"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"MO06",33,34,-3.90868280819601,0,0,0,0,14.3751288658965,"Yes","No",1,NA,0,1,1,-1.179055595
"MO07",31,26,-3.29791982482654,0,0,0,0,14.2775897088064,"Yes","No",1,-0.28136336345163,0,0,1,-1.435199666
"MO08",26,22,-2.32228854256926,0,0,0,0,14.5926431251528,"Yes","No",1,NA,1,0,0,-1.215092274
"MS01",32,33,-1.77795789023836,0,0,0,0,13.8976808223216,"Yes","No",1,0,0,0,0,-1.640333441
"MS03",37,38,NA,1,0,0,0,NA,"No","No",0,NA,0,0,0,-0.81670849258
"MS04",31,29,-1.61673065324865,0,0,0,0,13.7363623451109,"Yes","No",0,NA,0,1,0,-1.696657509
"MT01",47,39,-0.859810407031089,0,0,1,0,16.4540073247793,"Yes","No",0,NA,0,0,0,-2.27124292
"NC01",70,69,3.23512488608121,0,0,0,0,13.5954120657482,"No","Yes",1,NA,0,0,0,-1.9124032
"NC02",47,45,-0.566982598661194,0,-1.62979385258478,0,0,15.3785518372468,"Yes","No",0,0.795211795864135,1,1,0,-2.15520415
"NC04",75,71,NA,0,0,1,0,NA,"No","Yes",1,NA,0,0,0,-1.88728009
"NC05",43,41,-1.80839810560247,0,0,0,0,14.8241700752533,"Yes","No",1,NA,1,1,0,-1.61637304
"NC06",44,42,-1.36236524418065,0,0,0,0,14.3274091518918,"Yes","No",0,NA,0,0,0,-1.171644144
"NC07",43,41,-0.584845773251806,0,0,0,0,14.709385052838,"Yes","No",0,-1.58731297539138,1,0,0,-1.614107867
"NC08",45,42,-1.2547851163787,0,0,0,0,14.9840830936163,"Yes","No",0,NA,0,0,0,-0.983158253
"NC09",50,44,1.1260058161546,1,-0.428220919341937,0,0,15.9942974668906,"No","No",0,0.0884534334231526,0,0,0,-1.234514185
"NC10",41,37,-3.36673216269188,0,0,0,0,15.176019004119,"Yes","No",1,0.254174329437308,0,0,0,-1.052717751
"NC11",40,35,-2.08517561617901,0,0,1,0,14.5821089514874,"Yes","No",1,0.765586660405481,0,0,0,-1.363402666
"NC12",73,71,NA,0,0,0,0,NA,"No","Yes",1,0,0,0,0,-2.41238291
"NC13",47,45,0.548957825524265,0,-0.218462758063596,0,0,15.7092483240913,"Yes","No",0,0.836271942985207,1,0,0,-1.88509139
"ND01",38,30,-0.843177402341235,1,0,0,0,14.7441707279343,"No","No",0,NA,0,0,0,-1.73021222
"NE01",40,38,-2.35892534552176,0,0,0,0,13.6430133280457,"Yes","No",0,NA,1,0,0,-2.05471287
